,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12
Belgium,-0.7076435072324008,-0.532536023689368,-1.0524373542983072,0.531566302163312,-0.22318313203928986,0.20321205172417406,-0.5703329576521934,-0.6273400570720498,1.7155778169944134,-0.01455847344351879,0.4147498018040535,-1.6293786123598273
Bulgaria,2.022721376013059,0.38091157867444636,-1.6692017425211392,0.7904527358341098,0.19061012791426984,-1.1552389995541097,-1.1424064232919282,-0.6932705954954211,-0.9319427617745684,-0.28354576734631987,-0.25112222399612283,0.9696126467245737
Czechia,0.5326412956428869,-1.1223702812628031,0.8536589048380994,-0.2653994846449669,-0.04724810082126975,-0.6495456269125944,-1.5941332713281,-0.020300015278449123,1.4479684144376248,0.28353207404329434,-0.797474018503256,0.5780398707876531
Denmark,-1.027778038489404,0.5694026677156891,-0.11556269993943619,0.7930079642765184,0.1648393895139337,-0.2993088562512477,-1.7395607037886704,0.6943587697380135,-0.5529135954130003,-1.4978401669023647,-0.7445561403062729,-1.7746068656509784
Germany,0.3089778788066269,-0.6946274401997341,0.16637597648129768,1.5118089885580495,-1.77803845780381,-0.5210495222109055,0.5543946132274366,-2.0360933995167194,0.3923205009290606,0.5367980645561159,-0.49196025600044974,0.323459184851657
Estonia,0.7041558973654138,-0.008782996808617738,1.18253720515883,-0.44519950831072896,0.4633199935299862,0.9286309609241403,1.729887933404785,-0.8452233329539169,-0.5912984734406612,-0.29514571875347206,-1.2707247563272197,-0.5424999989185829
Ireland,-1.5000135942423596,-1.0191156839222852,-1.0368004860383535,-2.062993221383633,0.591931885248014,2.4323770665201123,-0.9237141487531447,0.2033115545911351,-1.0199752272332114,2.136073437603922,0.5925360641236513,-0.3473134446887164
Greece,0.5406780175635986,1.6626173634847552,-0.730021754756499,0.4646625055391217,0.22337069141973392,-0.3245180486308101,-1.2823186471776498,0.03660898748516111,-0.4965805703748631,1.2614224343639788,-0.5494984087044772,-1.1041623535976366
Spain,-0.4847262072095759,0.11375501252377643,-0.9712437116526074,-0.09252203209181575,0.17576888018604664,-1.0807176220965906,1.231665805387132,0.8300343323582625,0.6507724488751191,0.4423214970214071,-1.9892589520006179,0.01861030741407325
France,-0.5643626448177891,-0.5817792388877372,0.23439126402308075,2.355833284262703,-0.0778860885839355,0.2928214982750139,0.9103091075934077,0.4933293035007008,2.493006306357582,1.2230056545738288,1.9409027310547418,-0.4509614609761641
Croatia,0.944032228584238,-0.7471822997070926,-0.05143110735764841,0.5731847751790985,1.0473343762945198,0.03624397923528995,0.4286299589225445,0.17159440000049025,0.5943431812354101,-0.17844942921492898,-1.7317381106803846,-0.4264095779072727
Italy,-0.5475262311974401,1.1215010762610034,-2.1401815380666065,0.10738468988132935,0.6562249679850035,-0.4532679656671369,-0.5530317391610363,0.512597865325466,0.3257169003334367,-0.17628508651736685,-0.5616256764656382,-0.39957980707927315
Cyprus,0.3783836228008313,1.5728064792936893,1.866147715298974,1.3755229847684445,0.9029877282651191,-0.9914529790216898,0.08978045556246235,1.3994685767353892,-1.0074541712999459,0.6112266303690808,2.150343295153731,1.1307567223910382
Latvia,1.6394538234399552,0.9051252693716326,0.28247254917915304,1.8539360790352057,0.6027679873647026,2.556622575961054,0.7537841788870903,0.7909107797450982,-0.7110134232370398,-0.3876855185191741,-0.10850717065512674,-0.5151900702572436
Lithuania,1.123426066983294,-0.4002767735834371,0.1312835856338962,-0.07155426457219102,0.12484721489961872,1.7139790273971964,0.16897650987814375,-0.7567934837170116,-0.7696793582397792,-1.067734843169699,0.374892279296658,-0.5331544929877851
Luxembourg,-0.5828097838496703,0.20951806733286485,0.24754340186840226,-1.3470819605772744,2.501429594864702,-0.772733341730753,0.8242657490003252,-1.756634620052192,1.412936535351054,-0.5559733279705198,0.06583642892217859,1.468568037278448
Hungary,1.4287179321932624,-0.7717162750638064,1.1351365332590926,0.4199480042537755,0.469448268205842,-0.5424481688073416,-1.5062632074636597,0.07418123967395958,-0.24631598195640175,0.3043710900025477,-0.37529465073900664,0.8585460317911677
Malta,0.18819040429984904,-0.3638984779035402,-1.1440898282917524,-0.36339083365163416,-1.0622306083107105,0.9095897762495591,-0.6699274281967404,2.9084529876688334,0.7622532918051668,0.9658448906260693,-1.0817697251657508,1.7963486068436976
Netherlands,-0.9072823608726414,-1.1705548713789178,0.33593180089474317,-0.8265955510849707,-0.8466253890466191,-1.5900385111413802,-0.18034846110235253,1.5941874254365147,-0.8131302082324154,-1.1726678513175013,1.8514262320528379,0.2788131407404425
Austria,-0.30585000158722647,-1.4932924064879045,-0.005939246790244746,-0.09922465106158666,-1.401362574399575,-0.5412660366565051,-1.4607638719108234,-2.297674171530806,-1.5340640047079754,0.44661156381672595,0.40721361970283576,-0.12706911306525234
Poland,0.7899658157908616,-0.8433034131955388,1.0203726943195701,-0.5388071906782275,0.5429733113330292,0.9571862694087192,-0.13147629689039403,-0.8243537372208781,-0.002027698724997792,0.08275095291818418,0.2602937469311086,-0.33239471908983587
Portugal,-1.7532454574235194,-2.572101709381751,-1.3265543127183783,1.8351531711755622,1.7129969810839785,-0.39958321630166505,1.3345723706154202,0.3525387152569107,-2.2609608482968717,-1.1944634257655498,-0.2935613780471614,0.4277785223340001
Romania,1.5064595886070882,-0.14437536863290126,-1.4891000388593056,-1.3301056843301375,0.3960652718724089,1.3471104511337622,0.2414118068816629,-0.13438711192902908,1.162375444044658,-0.7885845540240648,1.3127522703504273,1.4387554521319472
Slovenia,0.03436188108822504,-0.47032133552507804,0.9410797818938843,-0.5483989593011673,-0.15844874603779394,-0.6619801003934378,-0.9362113008286551,0.44586729923989005,0.9191920276570549,-0.39020737901197305,-1.0551320580903238,-0.7744307184635497
Slovakia,0.9852640144461932,-0.930873247693114,0.8333765089601994,-0.34462419852277587,0.5965334111914333,-0.13393375715940076,-1.0991777963598082,0.6566143488019184,0.4110659928994213,-0.4003861951126173,1.478112458576696,-1.3636701729216516
Finland,-1.0741221015509488,-0.5605954709340453,1.9173356898188996,0.048799546699735914,-0.32791887387633173,0.28463931247753876,0.14897529535145482,0.6872886973096786,0.8248657016220522,-0.5734759852799413,-1.428223614263459,1.2974583596809801
Sweden,-1.30783067636023,0.7101549250210998,0.8066241747504281,-0.447662448330992,-1.1448381040755105,0.7095033146313842,0.4568462346436114,0.5589962257862794,0.21908370247418185,-2.099965312522014,0.34801124150886437,-0.9810244955285795
Iceland,-1.0227667799992213,2.2368875282368776,0.49553441843772983,-0.26980885659824594,-0.548687050415494,0.8465690724919368,-1.3906040045327532,-0.5901453950330301,-0.9787235232572485,-1.4739372466274328,-0.38223248259187875,1.9043234471391886
Liechtenstein,-1.1597493207206508,0.8191262724639372,1.0777296997279158,-0.7734487405538959,2.2330931706677237,-0.6752402432214766,0.24544639247790204,-0.2007984572757606,-0.7896034694742659,2.3908639905556153,0.05272102017906112,0.041594943924447375
Norway,-1.400980789156078,0.7076064216868401,0.764915315976542,-0.2310344092439619,-1.1278875208733181,1.052418539227323,0.26031979405871286,-0.7793683510229888,0.634263798691623,0.023209620530138485,-0.019076980584240694,0.05544371465971773
Switzerland,-1.130968347840408,1.0143185213431136,-0.37848779731659277,1.4445297177038527,-1.0847917493118178,0.3117768959210192,-0.02019810352874913,-1.0573801537655456,-0.08301820249477568,1.735723176130494,0.3359430467913462,0.3449164240427675
United Kingdom,-0.15869069255776452,0.5166581021191258,-0.7062885195958343,0.07696078636661713,-1.2442881690924075,-0.16788696432270447,1.5322002963139276,-0.3588623109869872,-0.2417639014620061,-0.22009860770460912,-0.16673633872565433,1.3455333316169136
Montenegro,0.22296442923611506,1.4333684765989114,-0.4638457796084107,-0.9305501166610815,0.27984770408603693,-1.6224824269218476,0.5825647732001151,-0.7308268374147426,0.8350814268206976,-0.7576711894025383,0.4713526365806153,-0.987559663407514
North Macedonia,0.19531047823721212,0.6657877197313803,-1.4302231502975014,-0.6946993462399704,0.14763109710633246,-0.30925066866721956,0.6897195809144201,-0.03821639005492222,0.20752022567927178,-0.6523868071535159,1.3467134725297072,-0.666950477206371
Serbia,1.1653775517550213,-0.5875143736672672,-0.285315275200085,-1.0925066833745218,-1.7395148589937113,-0.8977332643385418,1.3441238995693325,0.47020020523888634,-0.6879279349678987,0.5747637157659131,0.8620366588831077,0.6178280919570804
Turkey,0.9252642322536614,0.3756722060657618,0.7042771227880124,-1.407143394483662,-1.2110726293508225,-0.7930044715709301,1.6725936060767361,0.8671267064278986,-1.289950361619954,1.1625440928816186,-0.967344062594557,-1.9400307922036621
