GEO (Labels),comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12
Belgium,-1.2205581661350382,-0.7188121380104733,-1.2826579517972363,0.5938369524750627,-0.2263063088055831,0.1986178535239892,-0.4863820831745737,-0.4591663744685247,1.1934327314290745,-0.00906901598560182,0.2012342899805107,-0.5545603551366765
Bulgaria,3.4888316900755982,0.5141508819685691,-2.0343395067215413,0.8830507912427654,0.19327748506390083,-1.1291214691837221,-0.9742484780821521,-0.5074226366876298,-0.6483011057281584,-0.17663123174897802,-0.12184310209281612,0.3300084643518362
Czechia,0.9187107298706035,-1.5149648955664419,1.0403967304478159,-0.2964898649681503,-0.04790928058601332,-0.6348607628763302,-1.359482826590036,-0.014858104965534854,1.007271650838178,0.17662270167990754,-0.3869299447362363,0.19673634697026962
Denmark,-1.7727328309118635,0.7685743888911548,-0.1408420324526619,0.8859053534393198,0.1671461164909942,-0.29254211088835297,-1.4835038858710556,0.5082190994929752,-0.38463144946351097,-0.9330604936166165,-0.3612544854595226,-0.6039889109739088
Germany,0.5329314397406842,-0.9376016141622788,0.20277070967710872,1.688910750805832,-1.8029199457112883,-0.5092696855484731,0.4727898033323231,-1.4902692946132274,0.2729157036080493,0.3343915313227291,-0.23869637160586876,0.11008960045434886
Estonia,1.2145426644594945,-0.011855206846672003,1.4412171359162227,-0.49735266923939814,0.4698035939075329,0.9076365629388061,1.4752549110463313,-0.6186407659348299,-0.41133368901005574,-0.18385727403643373,-0.6165485625017274,-0.1846403222552533
Ireland,-2.587254490508314,-1.3755928069712833,-1.263600519701235,-2.3046637880871343,0.6002152527872298,2.377386123579653,-0.7877468869725852,0.14880897267245502,-0.7095404296842143,1.3306397973115485,0.28749519260313716,-0.11820841747233048
Greece,0.9325726341614312,2.2441853481764245,-0.8897139624502414,0.5190956708425893,0.22649649285167262,-0.3171813763109478,-1.093566146826493,0.026795062529530837,-0.3454436753649225,0.7857870721285368,-0.2666135622972713,-0.3758025681046744
Spain,-0.8360657937260069,0.1535454506816989,-1.1837032055127643,-0.10336058051573743,0.17822855210577668,-1.0562848637428517,1.0503692135645575,0.6075235444905982,0.45270644881645156,0.2755385544250378,-0.9651773455996544,0.006334033483969671
France,-0.9734243694087847,-0.7852801687626927,0.2856643366022091,2.6318087741312013,-0.07897600976238721,0.2862014184670678,0.7763150176463698,0.36108044616937873,1.7342467920683806,0.761855827456224,0.9417151769720696,-0.15348510533699572
Croatia,1.628286324846807,-1.0085396713919246,-0.06268165848789009,0.6403308462410511,1.0619905483837593,0.03542457889580458,0.36553723493376555,0.12559436885803368,0.4134517240556804,-0.11116280374108736,-0.8402296700785364,-0.1451288516764427
Italy,-0.944384574762587,1.5137916507944085,-2.608346099536756,0.11996433318306306,0.6654080391012898,-0.44302052780899287,-0.47162753922216344,0.37518360373848636,0.22658325736489213,-0.10981455396760235,-0.2724976449579635,-0.1359973170375645
Cyprus,0.6526439033512389,2.1229594577009894,2.274367397242738,1.536659442124193,0.9156239443957767,-0.9690383069924348,0.0765651088876097,1.0243071605555292,-0.7008302226421387,0.38075586036875914,1.0433345702213273,0.38485398346684413
Latvia,2.8277638835789864,1.2217296128380548,0.34426339951668067,2.0711165225812143,0.6112029929872215,2.498822702688897,0.6428299719875543,0.5788880068627944,-0.49461276741332455,-0.24150376606978372,-0.05264707384934338,-0.17534536550161384
Lithuania,1.9377085299181627,-0.540289840717472,0.16000186079108009,-0.07993653141144691,0.12659429998328117,1.6752295570975169,0.14410380073497478,-0.5539166776015948,-0.5354234181215622,-0.6651318490676584,0.18189564242174153,-0.18145957160061618
