GEO (Labels),comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12
Sweden,-2.255773416471333,0.9585604677719297,0.9830731564496165,-0.5001041318317588,-1.1608587223684126,0.6934629330523966,0.3896001805877144,0.4091437609353806,0.15240443124487482,-1.3081466997454905,0.16885311285418897,-0.3338924965083341
Iceland,-1.76408930855874,3.019329838987218,0.6039325377443946,-0.3014157754188466,-0.556365259033527,0.8274299216582367,-1.1859123052959057,-0.4319426416213852,-0.6808438976677378,-0.9181704732503377,-0.18545706811019597,0.6481380565141421
Liechtenstein,-2.0003596296832393,1.1056489721224982,1.313482996017108,-0.8640548528320565,2.2643425963921096,-0.6599744778115038,0.20931760312874653,-0.14696957190411775,-0.549283521846573,1.4893583337476555,0.025579944864672514,0.014156873485177211
Norway,-2.4164406587866543,0.9551205218360007,0.9322404877418606,-0.258099072390334,-1.1436709363491953,1.0286255637726878,0.222001695723617,-0.570439805462061,0.44122229269975993,0.014458138102472849,-0.009256044550577878,0.018870314031714786
Switzerland,-1.9507176120299143,1.3691176418434317,-0.4612819764555266,1.6137500097915798,-1.0999720918258786,0.30472827433609584,-0.017225018366341167,-0.7739238171806008,-0.05775117816296337,1.081246690594116,0.1629976921047086,0.11739258951767102
United Kingdom,-0.273712990667479,0.697380268158743,-0.8607890837613841,0.08597640341391562,-1.261700470213797,-0.16409139224525315,1.3066661534512518,-0.2626605848163885,-0.16818179299394095,-0.13710763009774404,-0.08089954134145423,0.45795337963164995
Montenegro,0.3845736618514651,1.9347473473867243,-0.5653120113918721,-1.0395599629894487,0.2837638326909001,-1.585801502821374,0.4968134213032628,-0.5349110191786862,0.5809200249058474,-0.47198163702943574,0.2286976696315682,-0.33611674628817556
North Macedonia,0.3368755548630771,0.8986740295345506,-1.743084364196379,-0.7760803139300942,0.14969701493915377,-0.3022591597810963,0.5881954428031281,-0.027971561944717765,0.1443603591197506,-0.4063960693286085,0.653417863668416,-0.22699714522609749
Serbia,2.01006731904898,-0.7930213999832436,-0.3477279716554759,-1.2204890279415115,-1.7638572559418582,-0.8774373984571799,1.1462738976342748,0.34415166237200695,-0.4785534682964343,0.35804175117999826,0.41825537765891335,0.21027830087502697
Turkey,1.595914896367418,0.507078825883817,0.858337694042808,-1.5719840435236412,-1.2280201193502742,-0.7750763039985915,1.4263940940340758,0.6346724101337003,-0.8973472192436474,0.7241920660990736,-0.4693499424384194,-0.6602910808693983
